family,pi_conj,backbone_rig,dop_affinity,chain_len,mol_wt,homo_lumo_gap,ioniz_pot,electron_aff,sidechain_pol,crystallinity,charge_mob,disorder,dopant_conc,log_sigma,fp000,fp001,fp002,fp003,fp004,fp005,fp006,fp007,fp008,fp009,fp010,fp011,fp012,fp013,fp014,fp015,fp016,fp017,fp018,fp019,fp020,fp021,fp022,fp023,fp024,fp025,fp026,fp027,fp028,fp029,fp030,fp031,fp032,fp033,fp034,fp035,fp036,fp037,fp038,fp039,fp040,fp041,fp042,fp043,fp044,fp045,fp046,fp047,fp048,fp049,fp050,fp051,fp052,fp053,fp054,fp055,fp056,fp057,fp058,fp059,fp060,fp061,fp062,fp063
Polyfluorene,0.866,0.9264,0.4907,69,9827.9,0.9583,5.0157,3.9255,0.4953,0.7097,0.6332,0.3771,0.0694,5.4956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Polypyrrole,0.8704,0.6743,0.8884,38,5769.1,1.0526,4.3989,3.2182,0.607,0.3265,0.6729,0.7733,0.3165,7.7455,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Polyfluorene,0.8801,0.8427,0.4911,47,6316.5,1.0624,5.1088,3.8723,0.8674,0.5882,0.5745,0.3845,0.3639,5.0104,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1
Polyaniline,0.6852,0.7201,0.9831,24,4366.4,1.5964,4.337,2.3968,0.2302,0.4669,0.3309,0.534,0.3716,6.1931,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
PEDOT,0.8683,0.882,0.7022,37,6253.2,0.6679,4.6943,3.7015,0.1837,0.5794,0.5655,0.349,0.085,8.7541,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Polycarbazole,0.7792,0.961,0.4805,46,5051.2,1.036,4.941,3.7744,0.8104,0.6156,0.4775,0.535,0.2354,4.5144,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Polyfluorene,0.7764,0.8689,0.421,41,3899.0,1.377,5.1489,3.6019,0.6303,0.6461,0.4206,0.4692,0.3224,4.2448,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
Polyfluorene,0.8192,0.9006,0.4083,25,4058.5,1.2333,5.0089,3.4774,0.1762,0.6799,0.5855,0.4195,0.2114,4.8206,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
PEDOT,0.9889,0.9056,0.7292,19,2806.1,0.611,4.6821,3.872,0.2698,0.6023,0.8006,0.4467,0.3616,10.0143,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Polypyrrole,0.8298,0.7663,0.8955,15,1294.6,1.3939,4.3117,2.688,0.5632,0.5388,0.5209,0.5908,0.2469,7.6195,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
Polypyrrole,0.9948,0.7526,0.8237,12,1777.1,0.6765,4.4192,3.4693,0.875,0.613,0.7727,0.4171,0.3875,8.7581,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
Polycarbazole,0.7374,1.0,0.4862,43,5893.9,1.3864,5.032,3.4539,0.7254,0.8467,0.4293,0.3372,0.2709,4.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Polyaniline,0.7501,0.7906,0.8328,22,3998.3,1.2602,4.6327,3.1934,0.3515,0.5771,0.4449,0.532,0.3786,7.387,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Polyfluorene,0.7828,0.9733,0.5323,36,6556.3,0.9565,5.0924,3.9059,0.7939,0.5593,0.4487,0.4523,0.0949,5.3848,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
Polypyrrole,0.8528,0.7382,0.9217,9,1596.7,0.7708,4.3943,3.4325,0.8779,0.5294,0.5526,0.4283,0.1092,7.8154,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Polythiophene,0.932,0.6703,0.7272,23,2265.8,0.806,4.556,3.5532,0.361,0.4388,0.6743,0.5686,0.1307,8.0102,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
Polyaniline,0.8261,0.5094,0.9187,25,4329.9,0.9528,4.3871,3.1524,0.48,0.2429,0.4381,0.7358,0.1283,6.7739,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PEDOT,0.9863,0.9988,0.6062,31,2884.2,0.771,4.9797,3.9697,0.4153,0.6431,0.7798,0.3367,0.2577,9.1624,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Polyfluorene,0.8833,0.9391,0.4766,67,6790.4,1.1713,4.9813,3.5675,0.3117,0.6232,0.5539,0.2186,0.1459,5.4193,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
Polyaniline,0.8162,0.7012,0.8407,36,6745.2,1.3048,4.4788,3.0388,0.6744,0.4165,0.5069,0.508,0.3999,7.3717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1
Polyfluorene,0.7746,0.8568,0.4287,21,3464.6,1.1221,5.1701,3.8086,0.1316,0.4416,0.4428,0.5541,0.3053,4.0172,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
Polythiophene,0.981,0.6446,0.8529,49,7999.9,0.6179,4.2344,3.3956,0.1069,0.4021,0.7741,0.8193,0.0657,7.8836,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Polycarbazole,0.7866,0.975,0.3279,29,3873.0,0.9485,4.9849,3.8589,0.3946,0.6389,0.5,0.4518,0.1807,3.3789,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Polyfluorene,0.7471,1.0,0.4887,25,3391.2,1.4807,5.1131,3.3588,0.6974,0.7359,0.4918,0.2396,0.0644,4.5741,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Polyfluorene,0.8004,0.9522,0.5196,67,11224.5,1.3053,4.9955,3.5568,0.8945,0.7135,0.5481,0.1578,0.2085,5.2176,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
